OT2022-2023,Mallard,Canada goose,Green-winged teal,Black vulture,Blue-winged teal,Snow goose,Bald eagle,American wigeon,Red-tailed hawk,Great horned owl
0,0.005376344,0.096774194,0,0.112903226,0.005376344,0,0.005376344,0.002688172,0.088709677,0.002688172
0,0.014492754,0.091376298,0.004008634,0.016137321,0.023846233,0.001850139,0.119642307,0.001027855,0.049748176,0.02960222
0,0.169753086,0.214506173,0.040123457,0.25308642,0.109567901,0.018518519,0.192901235,0.024691358,0.140432099,0.016975309
0,0.022813688,0.045627376,0,0.072243346,0,0.003802281,0.022813688,0,0.064638783,0.003802281
0,0.048543689,0.155339806,0,0.233009709,0.019417476,0.009708738,0.038834951,0,0.262135922,0
0,0,0.054945055,0,0.065934066,0.010989011,0,0.014652015,0,0.080586081,0.036630037
0,0.027777778,0.138888889,0.013888889,0.125,0,0.027777778,0.027777778,0,0.069444444,0
0,0.328316087,0.269049859,0.001881468,0.070555033,0.028222013,0,0.091251176,0.006585136,0.116650988,0.003762935
0,0.028301887,0.13836478,0.003144654,0.106918239,0.006289308,0,0.100628931,0.006289308,0.040880503,0
0,0.052910053,0.174603175,0.015873016,0.047619048,0,0,0.074074074,0.005291005,0.074074074,0
1,0.534883721,0.534883721,0.129198966,0.235142119,0.266149871,0.025839793,0.30749354,0.036175711,0.126614987,0.002583979
0,0,0,0,0.21875,0,0,0.09375,0,0.03125,0
0,0,0,0,0,0,0,0,0,0,0
0,0.029761905,0.089285714,0,0.125,0,0,0.029761905,0,0.148809524,0
0,0.007843137,0.094117647,0,0.050980392,0.003921569,0,0.015686275,0,0.078431373,0.003921569
0,0.021126761,0.049295775,0,0.23943662,0,0,0.014084507,0,0.021126761,0.007042254
0,0.358208955,0.31614654,0.065128901,0.122116689,0.244233379,0.005427408,0.104477612,0.035278155,0.107191316,0.002713704
0,0.044444444,0.117460317,0,0.114285714,0.003174603,0,0.003174603,0,0.025396825,0.003174603
0,0.036363636,0.054545455,0,0.090909091,0,0,0.127272727,0,0.036363636,0
0,0.018315018,0.047619048,0,0.098901099,0.014652015,0,0.025641026,0,0.054945055,0
0,0,0.14893617,0,0.14893617,0,0,0.063829787,0,0.127659574,0
0,0.193370166,0.198895028,0,0.154696133,0.005524862,0.005524862,0.016574586,0,0.093922652,0
0,0.009615385,0.019230769,0,0.466346154,0,0,0,0,0.048076923,0
0,0.0859375,0.1640625,0.0078125,0.1875,0,0,0.125,0,0.0859375,0.015625
0,0.019417476,0.045307443,0,0.067961165,0,0,0.025889968,0,0.035598706,0
0,0.039893617,0.095744681,0,0.087765957,0.013297872,0,0.031914894,0.013297872,0.079787234,0.005319149
0,0.010869565,0.097826087,0.010869565,0.032608696,0.043478261,0.010869565,0.02173913,0,0.02173913,0
1,0.321585903,0.550660793,0.008810573,0.039647577,0.022026432,0,0.052863436,0.013215859,0.0969163,0.004405286
0,0,0.08,0,0.32,0,0,0.08,0,0.04,0
0,0.051948052,0.285714286,0,0.155844156,0,0,0.051948052,0,0.051948052,0
0,0.010852713,0.035658915,0.015503876,0.674418605,0.048062016,0,0.009302326,0,0.072868217,0.020155039
0,0.291338583,0.141732283,0.023622047,0.299212598,0.039370079,0,0.181102362,0.023622047,0.157480315,0.047244094
0,0.179916318,0.265690377,0.014644351,0.246861925,0.048117155,0.00209205,0.173640167,0.031380753,0.173640167,0.008368201
0,0.01369863,0.082191781,0,0.575342466,0,0,0.246575342,0,0.191780822,0.01369863
0,0.009852217,0.078817734,0,0.177339901,0,0,0.044334975,0,0.049261084,0.004926108
0,0.195704057,0.250596659,0.100238663,0.119331742,0.028639618,0.002386635,0.241050119,0.07398568,0.167064439,0.007159905
0,0.132751938,0.228682171,0.000242248,0.029796512,0.004844961,0.002664729,0.005813953,0,0.136870155,0.005571705
0,0.145833333,0.145833333,0,0.270833333,0,0,0.0625,0,0.041666667,0
0,0.102022059,0.375919118,0.016544118,0.140625,0.040441176,0.013786765,0.061580882,0.004595588,0.132352941,0.010110294
1,0.128458498,0.312252964,0.009881423,0.389328063,0.0256917,0.001976285,0.059288538,0,0.169960474,0.001976285
0,0.01443175,0.243235117,0.021647625,0.131389056,0.060432952,0.003006615,0.030066146,0.003307276,0.094407697,0.012627781
0,0.294559099,0.154471545,0.145716073,0.094434021,0.096310194,0.109443402,0.205753596,0.127579737,0.26641651,0.011257036
0,0.008333333,0.091666667,0,0.158333333,0.0125,0,0.025,0,0.095833333,0.004166667
0,0,0.043376319,0,0.101992966,0.002344666,0.001172333,0.009378664,0,0.035169988,0.003516999
0,0.213301378,0.16327142,0.011983223,0.045536249,0.021270222,0.000299581,0.022168963,0.009886159,0.161174356,0.01527861
0,0.076923077,0.246153846,0,0.2,0,0,0.046153846,0,0.092307692,0.015384615
0,0.201030928,0.087628866,0,0.190721649,0,0,0,0,0.030927835,0
1,0.252148997,0.465616046,0.015759312,0.150429799,0.010028653,0.004297994,0.338108883,0.011461318,0.136103152,0.005730659
0,0.063307705,0.067888107,0.017503681,0.007852118,0.045313267,0.00196303,0.107475871,0.001635858,0.050057255,0.009978734
0,0,0,0,0.083333333,0,0,0.041666667,0,0,0
0,0.20754717,0.257861635,0.00359389,0.082659479,0.018867925,0.001796945,0.061994609,0.006289308,0.066486972,0.000898473
0,0.4599018,0.409165303,0.28314239,0.044189853,0.049918167,0.144844517,0.130932897,0.110474632,0.165302782,0.008183306
0,0.114832536,0.545454545,0,0.267942584,0.062200957,0.004784689,0.349282297,0,0.14354067,0.014354067
0,0.011904762,0.095238095,0,0.428571429,0,0,0.130952381,0,0.107142857,0
0,0.059701493,0.029850746,0,0.179104478,0.014925373,0,0.014925373,0,0.119402985,0
0,0.016129032,0.129032258,0,0.225806452,0.048387097,0,0.032258065,0.016129032,0.096774194,0
0,0.077669903,0.218446602,0,0.184466019,0,0,0.038834951,0,0.048543689,0.004854369
0,0.09478673,0.222748815,0,0.090047393,0,0,0.052132701,0,0.085308057,0
0,0.082729211,0.350959488,0.001279318,0.092963753,0.038379531,0.001279318,0.020895522,0.000426439,0.145842217,0.00554371
0,0.029411765,0.107843137,0.009803922,0.323529412,0,0,0.088235294,0.009803922,0.068627451,0
0,0.116504854,0.213592233,0.019417476,0.077669903,0.038834951,0,0.048543689,0,0.106796117,0.009708738
0,0.109375,0.208333333,0,0.166666667,0,0.005208333,0.09375,0,0.067708333,0.005208333
0,0.056295169,0.175351845,0.0041841,0.117154812,0.026245721,0.003042982,0.019779384,0.001901864,0.089007227,0.007987828
0,0,0.117977528,0.011235955,0.134831461,0.005617978,0,0.028089888,0,0.073033708,0
0,0,0,0,0.043478261,0.086956522,0,0,0,0,0
0,0.01369863,0.04109589,0,0.219178082,0.01369863,0,0.095890411,0,0.054794521,0
0,0.025210084,0.100840336,0,0.042016807,0,0,0,0.008403361,0.033613445,0
0,0.247181965,0.142109501,0.049516908,0,0.02173913,0.002415459,0.056763285,0.028180354,0.19041868,0.014090177
0,0.068410114,0.000635031,0.073317169,0.000375245,0.034609168,0.037986376,0.002107147,0.077935573,0.21778663,0.025661009
0,0.22035078,0.109201002,0.059924833,0,0.010787862,0.002853563,0.050528953,0.053730512,0.136344655,0.002992762
0,0.127714391,0.096797939,0.0368053,0,0.004416636,0.026867869,0.041589989,0.069562017,0.165255797,0.015458226
0,0.138496583,0.010933941,0.059681093,0,0.030068337,0.004555809,0.015034169,0.044191344,0.165831435,0.042824601
0,0.033101045,0.00174216,0.034843206,0,0.036585366,0.003484321,0.00174216,0.031358885,0.242160279,0.041811847
0,0.180944756,0.106485188,0.045636509,0,0.007205765,0.100880705,0.018414732,0.136108887,0.165732586,0.038430745
0,0.440450226,0.199446954,0.121124786,0.019921327,0.021673937,0.008490419,0.0470673,0.185757127,0.161882692,0.040757906
0,0.227465986,0.022534014,0.030612245,0,0.00212585,0.015306122,0.005952381,0.054421769,0.098214286,0.019557823
0,0.412977729,0.288424526,0.079461094,0,0.034643937,0.015122354,0.086334891,0.075611768,0.117129502,0.00879846
0,0.236086914,0.000810588,0.05254307,0.00828736,0.025975126,0.025745257,0.00021777,0.139397019,0.255117596,0.036210317
0,0.086723349,0.006409418,0.047874428,0.051013734,0.014257685,0.01059516,0.00470896,0.057030739,0.326880314,0.046566383
0,0.054862764,3.17E-05,0.032111693,0.131715056,0.006822148,0.002506743,0.000190386,0.019228939,0.204378867,0.022052991
2,0.378138626,0.135543527,0.081942565,0.00067659,0.013381446,0.00473613,0.067809352,0.142986017,0.209216659,0.028191249
0,0.161440186,0.003097174,0.036004646,0.011227255,0.036391792,0.029423151,0.000387147,0.049554781,0.150212931,0.043360434
