STATEFP,COUNTYFP,STATE,COUNTY,Longitude,Latitude,Poultry,2033A1B45,2033A245,2033B145,2033B245,2033A1B85,2033A285,2033B185,2033B285
1,1,Alabama,Autauga,-86.64273016,32.53492151,44,5.720792685,5.816380334,5.833081489,5.804271063,5.94637967,6.030376031,6.067610133,6.062951982
1,3,Alabama,Baldwin,-87.72257343,30.72768574,150,2.671993524,2.726147301,2.891267711,2.77218022,2.583137177,2.656739513,2.927924185,2.774895179
1,5,Alabama,Barbour,-85.39320566,31.869585,89,-5.519268237,-5.548562432,-5.640553174,-5.632734349,-5.586478923,-5.623312773,-5.716344007,-5.694754587
1,7,Alabama,Bibb,-87.12648128,32.99862503,43,6.485635019,6.541248072,6.386617228,6.482989892,6.519503573,6.608548706,6.409967167,6.50895837
1,9,Alabama,Blount,-86.5673687,33.98087655,223,2.37336252,2.478078981,2.455112334,2.391762127,2.542139973,2.638659663,2.585536746,2.54469434
1,11,Alabama,Bullock,-85.71567951,32.10052696,14,5.92332699,5.912526298,5.807123917,5.872170671,5.760705141,5.726804249,5.598118845,5.696819596
1,13,Alabama,Butler,-86.68027271,31.75243184,92,5.690283345,5.783972827,5.668114584,5.679037586,5.673600705,5.780907206,5.650138131,5.639241032
1,15,Alabama,Calhoun,-85.8260409,33.77141531,123,-4.663340423,-4.752688042,-4.802195871,-4.809305778,-4.897101809,-4.972745386,-5.012702024,-5.02574271
1,17,Alabama,Chambers,-85.39203725,32.91434339,68,2.795357766,3.126542151,2.872035093,2.897222671,2.846811074,3.337608723,2.955828452,2.990097041
1,19,Alabama,Cherokee,-85.60380731,34.17589498,127,5.286746746,5.31176038,5.423755111,5.40361154,5.473194174,5.495506949,5.650269999,5.630309645
1,21,Alabama,Chilton,-86.7187942,32.84785832,97,-23.8033887,-23.82015296,-23.76377454,-23.6625441,-23.54665941,-23.58369954,-23.56044052,-23.36875318
1,23,Alabama,Choctaw,-88.26317957,32.01977193,19,7.171654827,7.220697766,6.917302146,7.028676792,6.926813192,6.978486064,6.677597451,6.780318404
1,25,Alabama,Clarke,-87.8308079,31.67667737,51,7.125912331,7.283340321,7.034290063,7.063475845,7.03774924,7.206396902,6.928074631,6.983662336
1,27,Alabama,Clay,-85.86054492,33.26902733,108,5.530561329,5.517343666,5.436735672,5.583183107,5.631569347,5.611027577,5.589299671,5.726321896
1,29,Alabama,Cleburne,-85.5188118,33.67451323,65,5.307184375,5.365530199,5.216466431,5.201772016,5.520831108,5.551019578,5.42434316,5.408604086
1,31,Alabama,Coffee,-85.98816871,31.40265943,116,3.747258954,3.902346045,3.649518022,3.704762262,3.518889417,3.667942613,3.453240496,3.456537387
