STATEFP,COUNTYFP,STATE,COUNTY,Longitude,Latitude,2033A1B45,2033A245,2033B145,2033B245,,2033A1B85,2033A285,2033B185,2033B285,,,2099A1B45,2099A245,2099B145,2099B245,,2099A1B85,2099A285,2099B185,2099B285
1,1,Alabama,Autauga,-86.64273016,32.53492151,5.720792685,5.816380334,5.833081489,5.804271063,,5.94637967,6.030376031,6.067610133,6.062951982,,,5.472063841,5.472176771,5.456220673,5.574534374,,5.486733893,5.364142797,5.53432675,5.580284278
1,3,Alabama,Baldwin,-87.72257343,30.72768574,2.671993524,2.726147301,2.891267711,2.77218022,,2.583137177,2.656739513,2.927924185,2.774895179,,,3.477404169,4.187351727,3.486252252,3.545967884,,3.736583258,4.193746601,3.930544725,3.888300865
1,5,Alabama,Barbour,-85.39320566,31.869585,-5.519268237,-5.548562432,-5.640553174,-5.632734349,,-5.586478923,-5.623312773,-5.716344007,-5.694754587,,,-5.883734258,-6.053411977,-5.71999656,-5.750227795,,-5.905163183,-6.163898112,-5.830988711,-5.888899408
1,7,Alabama,Bibb,-87.12648128,32.99862503,6.485635019,6.541248072,6.386617228,6.482989892,,6.519503573,6.608548706,6.409967167,6.50895837,,,6.459622752,6.493607895,6.305367778,6.225007307,,6.351443364,6.414764932,6.199816531,6.194240679
1,9,Alabama,Blount,-86.5673687,33.98087655,2.37336252,2.478078981,2.455112334,2.391762127,,2.542139973,2.638659663,2.585536746,2.54469434,,,2.309730928,3.706046301,2.292531155,2.26597767,,1.891674062,2.572582044,1.911567811,1.858780515
1,11,Alabama,Bullock,-85.71567951,32.10052696,5.92332699,5.912526298,5.807123917,5.872170671,,5.760705141,5.726804249,5.598118845,5.696819596,,,5.850273314,7.460466984,5.611669955,5.395430746,,6.087598715,7.454085707,5.839781034,5.680817564
1,13,Alabama,Butler,-86.68027271,31.75243184,5.690283345,5.783972827,5.668114584,5.679037586,,5.673600705,5.780907206,5.650138131,5.639241032,,,5.776801403,7.124165678,5.703732858,5.466319756,,5.878106479,7.225456047,5.718084194,5.507702535
1,15,Alabama,Calhoun,-85.8260409,33.77141531,-4.663340423,-4.752688042,-4.802195871,-4.809305778,,-4.897101809,-4.972745386,-5.012702024,-5.02574271,,,-4.70568154,-4.337915378,-4.773368056,-5.104546345,,-4.964589321,-4.711802243,-4.965046284,-5.036958034
1,17,Alabama,Chambers,-85.39203725,32.91434339,2.795357766,3.126542151,2.872035093,2.897222671,,2.846811074,3.337608723,2.955828452,2.990097041,,,1.92536017,2.060288001,2.21858587,2.110632002,,1.715487219,1.776346252,1.875414479,1.78450654
1,19,Alabama,Cherokee,-85.60380731,34.17589498,5.286746746,5.31176038,5.423755111,5.40361154,,5.473194174,5.495506949,5.650269999,5.630309645,,,4.862162434,6.515002161,5.033208241,5.04591981,,4.116711447,5.309435161,4.245649886,4.236362613
