STATEFP,COUNTYFP,STATE,COUNTY,Any_poultry,ER2023,A1B45,A1B85,A245,A285,B145,B185,B245,B285
1,1,Alabama,Autauga,44,2.130698394,7.85149108,8.077078064,7.947078728,8.161074424,7.963779883,8.198308527,7.934969456,8.193650375
1,3,Alabama,Baldwin,150,3.533291601,6.205285126,6.116428778,6.259438902,6.190031114,6.424559313,6.461215786,6.305471822,6.30818678
1,5,Alabama,Barbour,89,14.09867778,8.579409539,8.512198855,8.550115344,8.475365004,8.458124603,8.382333769,8.465943427,8.40392319
1,7,Alabama,Bibb,43,1.795762143,8.281397162,8.315265716,8.337010217,8.404310849,8.182379372,8.20572931,8.278752036,8.304720514
1,9,Alabama,Blount,223,6.440027678,8.813390198,8.982167651,8.918106659,9.078687341,8.895140011,9.025564424,8.831789804,8.984722017
1,11,Alabama,Bullock,14,2.237403548,8.160730537,7.998108688,8.149929847,7.964207798,8.044527463,7.835522392,8.109574218,7.934223144
1,13,Alabama,Butler,92,2.294051515,7.984334861,7.96765222,8.078024342,8.074958721,7.962166098,7.944189647,7.9730891,7.933292548
1,15,Alabama,Calhoun,123,13.10322509,8.439884663,8.206123276,8.350537044,8.1304797,8.301029216,8.090523061,8.293919308,8.077482376
1,17,Alabama,Chambers,68,5.919350504,8.714708269,8.766161577,9.045892654,9.256959226,8.791385597,8.875178956,8.816573174,8.909447545
1,19,Alabama,Cherokee,127,5.474327966,10.76107471,10.94752214,10.78608835,10.96983491,10.89808308,11.12459796,10.8779395,11.10463761
1,21,Alabama,Chilton,97,31.68116714,7.877778434,8.134507725,7.861014174,8.097467604,7.917392594,8.120726618,8.018623035,8.312413953
1,23,Alabama,Choctaw,19,0.88409648,8.055751307,7.810909671,8.104794245,7.862582543,7.801398625,7.561693932,7.912773272,7.664414884
1,25,Alabama,Clarke,51,0,7.12591233,7.03774924,7.283340321,7.206396902,7.034290062,6.928074631,7.063475845,6.983662335
1,27,Alabama,Clay,108,3.22409592,8.754657248,8.855665268,8.741439586,8.835123498,8.660831592,8.813395592,8.807279028,8.950417816
1,29,Alabama,Cleburne,65,3.038466714,8.345651089,8.559297823,8.403996913,8.589486292,8.254933144,8.462809874,8.24023873,8.4470708
1,31,Alabama,Coffee,116,3.990188064,7.737447018,7.509077483,7.892534108,7.658130677,7.639706084,7.443428559,7.694950327,7.446725451
1,33,Alabama,Colbert,60,18.75260841,10.42881912,10.7518238,10.40055178,10.71677633,10.48230336,10.8134101,10.43692536,10.76740216
1,35,Alabama,Conecuh,34,2.013758968,7.93242332,7.869136624,8.126201401,8.060874647,7.833770194,7.780431836,7.873683808,7.79409882
1,37,Alabama,Coosa,16,3.359438878,8.44310324,8.389474507,8.464784403,8.399570527,8.295245682,8.245462575,8.334488864,8.292388506
1,39,Alabama,Covington,125,2.51872093,7.516315724,7.544334949,7.606298507,7.625280516,7.484971089,7.483040981,7.441608798,7.463212398
1,41,Alabama,Crenshaw,80,2.554116287,7.981578227,7.909232517,7.976857452,7.932881627,7.880276921,7.7730338,7.740062957,7.627239183
1,43,Alabama,Cullman,343,9.650449716,9.340230747,9.523459819,9.595810623,9.816982964,9.299128078,9.511887272,9.417425316,9.594040982
1,45,Alabama,Dale,103,0.758324236,6.901632938,6.96623669,6.989925249,7.05920835,7.074116952,7.141703719,7.041296461,7.139915025
1,47,Alabama,Dallas,19,6.210138996,7.852832541,7.80330506,7.865337782,7.807526899,7.753993225,7.750043349,7.872650295,7.862350346
1,49,Alabama,DeKalb,392,1.347425008,9.06737186,9.093951306,9.28827911,9.245728297,9.067069767,9.117330797,9.104153738,9.143197806
1,51,Alabama,Elmore,64,2.701271427,8.612931264,8.711385316,8.634436823,8.742022687,8.686283895,8.809423698,8.668792114,8.80309002
1,53,Alabama,Escambia,43,4.105069502,7.076623496,7.224308942,7.264581869,7.405370925,7.001890757,7.119097472,6.938366689,7.084396206
1,55,Alabama,Etowah,160,14.37040067,10.08271121,9.936769687,9.884695099,9.746571453,9.854139276,9.844369775,9.722842979,9.749452526
1,57,Alabama,Fayette,30,0.98849433,8.376328379,8.698728667,8.359182393,8.667470799,8.516504562,8.815661492,8.452701936,8.80867169
1,59,Alabama,Franklin,139,10.87111232,9.284250934,9.55035387,9.336714498,9.550404914,9.367064721,9.663715736,9.309516392,9.617344588
1,61,Alabama,Geneva,105,1.804576112,7.998795409,7.897775579,8.557349543,8.537347277,7.171952456,7.153253966,7.401712929,7.36469204
1,63,Alabama,Greene,17,13.34378122,8.357711445,8.417701589,8.321959582,8.3774684,8.061245234,8.12232473,8.138271894,8.217228373
1,65,Alabama,Hale,38,12.2037514,7.971634405,8.066987293,8.139660071,8.210281412,7.941989922,8.049362642,7.964584066,8.103246669
1,67,Alabama,Henry,46,3.86917417,8.320099777,8.284506935,8.391371992,8.352499194,7.946269543,7.900915896,8.022193453,7.943567014
1,69,Alabama,Houston,75,2.299197559,7.464786592,7.03513544,7.472828232,7.07944869,6.793600436,6.316937349,6.969409135,6.459727801
1,71,Alabama,Jackson,172,16.25102208,11.1479026,11.29953202,11.03761504,11.11934806,11.33639174,11.53322828,11.31732913,11.52564316
1,73,Alabama,Jefferson,88,7.259592252,11.35114638,11.20867981,11.01537033,10.94975343,10.71385919,10.66016012,10.67408227,10.62229748
1,75,Alabama,Lamar,31,5.803060386,8.697726784,8.928846417,8.660260657,8.894472226,8.41088513,8.616851127,8.504896575,8.713339172
1,77,Alabama,Lauderdale,160,10.26015398,10.75624068,11.05057487,10.79134966,11.10071985,10.58190297,10.82670006,10.66928456,10.92098787
1,79,Alabama,Lawrence,197,7.721628829,11.04906952,11.1800444,11.17043615,11.33113659,10.92348444,11.03696428,10.98569084,11.10004502
1,81,Alabama,Lee,78,6.463505979,8.72934418,8.752881749,8.605233184,8.680963048,8.751713002,8.764517132,8.702009821,8.710093565
1,83,Alabama,Limestone,138,18.49505111,13.27452781,13.42900611,13.50864428,13.63449109,13.15508043,13.35122981,13.22108119,13.36042199
1,85,Alabama,Lowndes,42,2.515596726,8.003556168,7.910491346,8.031667865,7.913717236,7.844913482,7.743635397,7.880502518,7.778979827
1,87,Alabama,Macon,34,0.990152739,7.547146637,7.440987029,7.565368775,7.454044872,7.383750079,7.30943378,7.414683493,7.332833096
1,89,Alabama,Madison,141,9.307909703,12.23638556,12.27152423,12.27877402,12.34438942,11.94728912,12.01139932,11.88804892,11.97822882
1,91,Alabama,Marengo,37,5.153822575,7.249422323,7.209286402,7.447761881,7.370928115,7.18615575,7.127324705,7.228129244,7.193791342
1,93,Alabama,Marion,119,7.115845103,8.646556018,9.048606855,8.585543337,8.971932509,8.659941289,9.051461249,8.686251383,9.099727492
1,95,Alabama,Marshall,237,17.49537819,10.44496949,10.69078858,10.68511005,10.92085516,10.20995623,10.46236708,10.37399903,10.64644366
1,97,Alabama,Mobile,118,5.241299593,7.285705856,7.329050798,7.16367151,7.216462569,7.075812534,7.166826889,6.99582116,7.100677261
1,99,Alabama,Monroe,26,0.816089062,7.310110753,7.236316411,7.434257359,7.326726058,7.155370117,7.028935206,7.185694188,7.098736112
1,101,Alabama,Montgomery,44,9.548681717,8.548049727,8.553431457,8.507363931,8.531418248,8.552087098,8.588858548,8.382668409,8.425946399
1,103,Alabama,Morgan,205,28.03313173,10.36474469,10.57504278,10.29762824,10.53919936,10.16494735,10.34610296,10.29479311,10.47537338
1,105,Alabama,Perry,29,16.14778497,7.681880975,7.771709084,7.806404168,7.848728734,7.551348745,7.60839288,7.495371275,7.5738106
1,107,Alabama,Pickens,86,3.758837946,8.847953303,8.949038945,8.707715649,8.805026407,8.774027272,8.892475609,8.773246572,8.873238207
1,109,Alabama,Pike,94,1.156309626,7.785769933,7.648526482,7.851911302,7.699936552,7.756384591,7.617830356,7.646723701,7.486649053
1,111,Alabama,Randolph,151,4.601049342,9.310530452,9.441039642,9.318903039,9.42588646,9.32706047,9.426877514,9.32646327,9.430469789
1,113,Alabama,Russell,46,6.434818146,7.989481183,8.08871523,7.969540503,8.022391222,7.955661159,8.006248523,7.985466604,8.048509521
